text1,text2,label,idx,label_text,global_idx
Dan had to stop Bill from toying with the injured bird. He is very compassionate.,Dan is very compassionate.,1,294,entailment,1000294
The man lifted the boy onto his bunk bed.,The man lifted the boy onto the man's bunk bed.,0,585,not entailment,1000585
"The path to the lake was blocked, so we couldn't reach it.",We couldn't reach the path.,0,582,not entailment,1000582
I couldn't put the pot on the shelf because it was too tall.,The pot was too tall.,1,7,entailment,1000007
Madonna fired her trainer because she couldn't stand her boyfriend.,Madonna couldn't stand her boyfriend.,1,627,entailment,1000627
"The sack of potatoes had been placed below the bag of flour, so it had to be moved first.",The sack of potatoes had to be moved first.,0,308,not entailment,1000308
"Pam's parents came home and found her having sex with her boyfriend, Paul. They were embarrassed about it.",Pam's parents were embarrassed about it.,0,534,not entailment,1000534
"John promised Bill to leave, so an hour later he left.",Bill left.,0,46,not entailment,1000046
The painting in Mark's living room shows an oak tree. It is to the right of the bookcase.,The painting is to the right of the bookcase.,1,319,entailment,1000319
"Jane knocked on Susan's door, but there was no answer. She was disappointed.",Jane was disappointed.,1,573,entailment,1000573
I put the butterfly wing on the table and it broke.,The table broke.,0,22,not entailment,1000022
Jim comforted Kevin because he was so upset.,Jim was so upset.,0,619,not entailment,1000619
"Jane knocked on Susan's door, but there was no answer. She was out.",Jane was out.,0,254,not entailment,1000254
"Mr. Moncrieff visited Chester's luxurious New York apartment, thinking that it belonged to his son Edward. The result was that Mr. Moncrieff has decided to cancel Edward's allowance on the ground that he no longer requires his financial support.",Mr. Moncrieff no longer requires his financial support.,0,332,not entailment,1000332
John couldn't see the stage with Billy in front of him because he is so tall.,John is so tall.,0,393,not entailment,1000393
"I sat there feeling rather like a chappie I'd once read about in a book, who murdered another cove and hid the body under the dining-room table, and then had to be the life and soul of a dinner party, with it there all the time.","He had to be the life and soul of a dinner party, with the life and soul there all the time.",0,618,not entailment,1000618
"The donkey wished a wart on its hind leg would disappear, and it did.","The donkey wished a wart on its hind leg would disappear, and donkey did.",0,375,not entailment,1000375
John couldn't see the stage with Billy in front of him because he is so short.,John is so short.,1,1,entailment,1000001
"I used an old rag to clean the knife, and then I put it in the drawer.",I put the knife in the drawer.,1,311,entailment,1000311
Steve follows Fred's example in everything. He influences him hugely.,Fred influences him hugely.,1,130,entailment,1000130
There is a gap in the wall. You can see the garden through it.,You can see the garden through the wall.,0,264,not entailment,1000264
The Wainwrights treated Mr. Crowley like a prince until he made his will in their favor; then they treated him like dirt. Folks said he died just to be rid of their everlasting nagging.,Folks said he died just to be ride of the Wainwrights' everlasting nagging.,1,473,entailment,1000473
Jane knocked on Susan's door but she did not get an answer.,Susan did not get an answer.,0,20,not entailment,1000020
"John promised Bill to leave, so an hour later he left.",John left.,1,71,entailment,1000071
The fish ate the worm. It was tasty.,The fish was tasty.,0,486,not entailment,1000486
"Equally swoon-worthy is C.K. Dexter Haven, a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at his feet.","Equally swoon-worthy is C.K. Dexter Haven, a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at Haven's feet.",1,73,entailment,1000073
Mary took out her flute and played one of her favorite pieces. She has loved it since she was a child.,She has loved the piece since she was a child.,1,171,entailment,1000171
Steve follows Fred's example in everything. He admires him hugely.,Fred admires him hugely.,0,154,not entailment,1000154
I took the water bottle out of the backpack so that it would be handy.,I took the water bottle out of the backpack so that the water bottle would be handy.,1,230,entailment,1000230
Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition.,Frank was the winner of the competition.,0,260,not entailment,1000260
"Mark was close to Mr. Singer's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.",The captain and all Mr. Singer's crew had best stay in the cabin until the work was over.,0,599,not entailment,1000599
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve years old.","When Fred first saw my father, Fred was twelve years old.",1,372,entailment,1000372
"It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size. The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.",Even one thread uncut will leave the hole too small.,1,620,entailment,1000620
John was doing research in the library when he heard a man humming and whistling. He was very annoyed.,The man was very annoyed.,0,206,not entailment,1000206
Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be better.,The ankles should be better.,1,408,entailment,1000408
At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so stupid.,The chatbots were so stupid.,0,376,not entailment,1000376
So Mark slept. It was daylight when he woke with Warren's hand upon his shoulder.,It was daylight when he woke with Warren's hand upon Mark's shoulder.,1,443,entailment,1000443
Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.,He will be moving into The old house on Thursday.,0,533,not entailment,1000533
Sara borrowed the book from the library because she needs it for an article she is working on. She writes it when she gets home from work.,She writes the book when she gets home from work.,0,45,not entailment,1000045
The woman held the girl against her will.,The woman held the girl against the girl's will.,1,587,entailment,1000587
I poured water from the bottle into the cup until it was full.,The cup was full.,1,201,entailment,1000201
"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was cooler.",The dog was cooler.,0,416,not entailment,1000416
"Joe's uncle can still beat him at tennis, even though he is 30 years younger.",Joe is 30 years younger.,1,88,entailment,1000088
"Ann asked Mary what time the library closes, because she had forgotten.",Ann had forgotten.,1,91,entailment,1000091
"The lawyer asked the witness a question, but he was reluctant to answer it.",The witness was reluctant to answer it.,1,246,entailment,1000246
Billy cried because Toby wouldn't share his toy.,Billy cried because Toby wouldn't share Billy's toy.,0,498,not entailment,1000498
Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition.,Frank was the winner of the competition.,1,167,entailment,1000167
Joan made sure to thank Susan for all the help she had recieved.,Joan made sure to thank Susan for all the help Susan had recieved.,0,385,not entailment,1000385
Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very concerned.,Carl was very concerned.,1,157,entailment,1000157
"Paul tried to call George on the phone, but he wasn't available.",Paul wasn't available.,0,605,not entailment,1000605
"Then Dad figured out how much the man owed the store; to that he added the man's board-bill at the cook-shanty. He subtracted that amount from the man's wages, and made out his check",The man subtracted that amount from the man's wages.,0,267,not entailment,1000267
"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was cooler.",The spot under the tree was cooler.,1,466,entailment,1000466
"The sack of potatoes had been placed above the bag of flour, so it had to be moved first.",The sack of potatoes had to be moved first.,1,316,entailment,1000316
"Jane knocked on Susan's door, but there was no answer. She was disappointed.",Susan was disappointed.,0,574,not entailment,1000574
"During a game of tag, Ethan ran from Luke because he was ""it"".","Luke was ""it"".",1,331,entailment,1000331
Fred watched TV while George went out to buy groceries. After an hour he got back.,Fred got back.,0,530,not entailment,1000530
Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his research.,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties Goodman faced in his research.,1,197,entailment,1000197
"Since it was raining, I carried the newspaper in my backpack to keep it dry.",I carried the newspaper in my backpack to keep the backpack dry.,0,625,not entailment,1000625
"It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size. The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.",Even one thread uncut will leave one thread too small.,0,191,not entailment,1000191
"When Tommy dropped his ice cream, Timmy giggled, so father gave him a sympathetic look.",Father gave Tommy a sympathetic look.,1,205,entailment,1000205
Pete envies Martin although he is very successful.,Pete is very successful.,1,489,entailment,1000489
Kirilov ceded the presidency to Shatov because he was less popular.,Kirilov was less popular.,1,269,entailment,1000269
The trophy doesn't fit into the brown suitcase because it is too large.,The trophy is too large.,1,519,entailment,1000519
Kirilov ceded the presidency to Shatov because he was more popular.,Kirilov was more popular.,0,182,not entailment,1000182
"I stuck a pin through a carrot. When I pulled the pin out, it had a hole.",The carrot had a hole.,1,0,entailment,1000000
"Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make more of them.",We should make more of the chocolate chip cookies.,0,241,not entailment,1000241
Grace was happy to trade me her sweater for my jacket. She thinks it looks dowdy on her.,The jacket looks dowdy on her.,0,181,not entailment,1000181
Bill passed the gameboy to John because his turn was next.,Bill's turn was next.,0,147,not entailment,1000147
The firemen arrived after the police because they were coming from so far away.,The police were coming from so far away.,0,13,not entailment,1000013
"The cat was lying by the mouse hole waiting for the mouse, but it was too impatient.",The mouse was too impatient.,0,240,not entailment,1000240
"The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured it was easier to pronounce.",Tina was easier to pronounce.,1,550,entailment,1000550
Anna did a lot worse than her good friend Lucy on the test because she had studied so hard.,Lucy had studied so hard.,1,603,entailment,1000603
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.",Bob would have won.,1,462,entailment,1000462
Anna did a lot better than her good friend Lucy on the test because she had studied so hard.,Lucy had studied so hard.,0,178,not entailment,1000178
Tom gave Ralph a lift to school so he wouldn't have to drive alone.,Tom wouldn't have to drive alone.,1,105,entailment,1000105
"Jackson was greatly influenced by Arnold, though he lived two centuries later.",Jackson lived two centuries later.,1,214,entailment,1000214
"Larry, a timid teen-ager, lives with his widowed mother in a Brooklyn housing project. Larry's father, a gang leader, was shot to death; his father's disciple, Antonio, takes Larry under his wing, and quickly molds him into a drug runner.","His father's disciple, Antonio, takes Larry under his wing, and quickly molds Larry into a drug runner.",0,464,not entailment,1000464
"The older students were bullying the younger ones, so we rescued them.",We rescued the younger students.,1,314,entailment,1000314
"I stuck a pin through a carrot. When I pulled the pin out, it left a hole.",The carrot left a hole.,0,159,not entailment,1000159
The city councilmen refused the demonstrators a permit because they feared violence.,The demonstrators feared violence.,0,459,not entailment,1000459
"I sat there feeling rather like a chappie I'd once read about in a book, who murdered another cove and hid the body under the dining-room table, and then had to be the life and soul of a dinner party, with it there all the time.","He had to be the life and soul of a dinner party, with the dinner party there all the time.",0,187,not entailment,1000187
The woman held the girl against her will.,The woman held the girl against the woman's will.,0,503,not entailment,1000503
"Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why she was behaving so strangely.",Alice's daughter was behaving so strangely.,1,521,entailment,1000521
"The dog chased the cat, which ran up a tree. It waited at the bottom.",The cat waited at the bottom.,0,409,not entailment,1000409
At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so advanced.,The judges were so advanced.,0,9,not entailment,1000009
"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very hurt.",Charlie is very hurt.,0,460,not entailment,1000460
Look! There is a minnow swimming right below that duck! It had better get away to safety fast!,The minnow had better get away to safety fast!,1,493,entailment,1000493
"Since Chester was dependent on Uncle Vernon, he couldn't very well marry without his approval",He couldn't very well marry without Chester's approval,0,96,not entailment,1000096
"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.",She put the album on a chair without even opening the chair.,0,457,not entailment,1000457
The foxes are getting in at night and attacking the chickens. I shall have to kill them.,I shall have to kill The foxes.,1,87,entailment,1000087
"Paul tried to call George on the phone, but he wasn't successful.",Paul wasn't successful.,1,23,entailment,1000023
Susan knows all about Ann's personal problems because she is indiscreet.,Susan is indiscreet.,0,496,not entailment,1000496
"Jackson was greatly influenced by Arnold, though he lived two centuries earlier.",Jackson lived two centuries earlier.,0,115,not entailment,1000115
"Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make more of them.",We should make more of the oatmeal cookies.,1,194,entailment,1000194
"The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured it was too hard to pronounce.",Terpsichore was too hard to pronounce.,1,516,entailment,1000516
"Since it was raining, I carried the newspaper over my backpack to keep it dry.",I carried the newspaper over my backpack to keep the newspaper dry.,0,354,not entailment,1000354
"Larry, a timid teen-ager, lives with his widowed mother in a Brooklyn housing project. Larry's father, a gang leader, was shot to death; his father's disciple, Antonio, takes Larry under his wing, and quickly molds him into a drug runner.","His father's disciple, Antonio, takes Larry under his wing, and quickly molds Antonio into a drug runner.",1,347,entailment,1000347
"Since Chester was dependent on Uncle Vernon, he couldn't very well marry without his approval",Chester couldn't very well marry without his approval,1,248,entailment,1000248
"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.",Prehistoric humans hunted for deer on the river banks.,1,42,entailment,1000042
"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.",Sam and Amy are snobs.,0,303,not entailment,1000303
I poured water from the bottle into the cup until it was empty.,The cup was empty.,0,15,not entailment,1000015
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.",His friend Henry let him stack the beans in his barn where they would dry.,1,253,entailment,1000253
"Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.",Anyone who knew that he was 19 years old could take his claim away from the government official.,0,126,not entailment,1000126
"Beth didn't get angry with Sally, who had cut her off, because she stopped and counted to ten.",Beth stopped and counted to ten.,1,538,entailment,1000538
"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was gone.",The cloud was gone.,1,581,entailment,1000581
Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his research.,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties Xenophanes faced in his research.,0,337,not entailment,1000337
"Dan took the rear seat while Bill claimed the front because his ""Dibs!"" was slow.","Dan took the rear seat while Bill claimed the front because Dan's ""Dibs!"" was slow.",1,586,entailment,1000586
The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They appeared two years ago.,The fish appeared two years ago.,1,577,entailment,1000577
Grace was happy to trade me her sweater for my jacket. She thinks it looks great on her.,The jacket looks great on her.,1,560,entailment,1000560
"By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly. How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.",Tatyana doubted if Tatyana slept.,0,628,not entailment,1000628
"Susan knew that Ann's son had been in a car accident, because she told her about it.",Susan told her about it.,0,247,not entailment,1000247
"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very ungrateful.",Charlie is very ungrateful.,1,430,entailment,1000430
The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They began two years ago.,The fish began two years ago.,0,335,not entailment,1000335
John hired Bill to take care of him.,John hired Bill to take care of Bill.,0,270,not entailment,1000270
"I stuck a pin through a carrot. When I pulled the pin out, it had a hole.",The pin had a hole.,0,495,not entailment,1000495
"Jane knocked on Susan's door, but there was no answer. She was out.",Susan was out.,1,504,entailment,1000504
Dr. Adams informed Kate that she had retired and presented several options for future treatment.,Kate had retired and presented several options for future treatment.,0,472,not entailment,1000472
"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were defeated within weeks.",Yakutsk was defeated within weeks.,0,114,not entailment,1000114
"Stretching her back, the woman smiled at the girl.","Stretching the woman's back, the woman smiled at the girl.",1,514,entailment,1000514
I put the cake away in the refrigerator. It has a lot of leftovers in it.,The cake has a lot of leftovers in it.,0,128,not entailment,1000128
"Pam's parents came home and found her having sex with her boyfriend, Paul. They were furious about it.",Pam's parents were furious about it.,1,92,entailment,1000092
"The sack of potatoes had been placed below the bag of flour, so it had to be moved first.",The bag of flour had to be moved first.,1,195,entailment,1000195
"Mark became absorbed in Blaze, the white horse. He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.",Mark took upon himself the feeding and care of the animal.,1,386,entailment,1000386
"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it removed.",Now I have to get The roof removed.,0,490,not entailment,1000490
This book introduced Shakespeare to Goethe; it was a major influence on his writing.,It was a major influence on Goethe's writing.,1,377,entailment,1000377
The large ball crashed right through the table because it was made of steel.,The table was made of steel.,0,252,not entailment,1000252
The man couldn't lift his son because he was so weak.,The man was so weak.,1,94,entailment,1000094
John was jogging through the park when he saw a man juggling watermelons. He was very impressed.,The juggler was very impressed.,0,364,not entailment,1000364
The city councilmen refused the demonstrators a permit because they feared violence.,The city councilmen feared violence.,1,212,entailment,1000212
Joan made sure to thank Susan for all the help she had recieved.,Joan made sure to thank Susan for all the help Joan had recieved.,1,345,entailment,1000345
Grace was happy to trade me her sweater for my jacket. She thinks it looks dowdy on her.,The sweater looks dowdy on her.,1,108,entailment,1000108
"Since Chester was dependent on Uncle Vernon, he couldn't very well marry without his approval",Uncle Vernon couldn't very well marry without his approval,0,220,not entailment,1000220
"Fred and Alice had very warm down coats, but they were not prepared for the cold in Alaska.",coats were not prepared for the cold in Alaska.,0,113,not entailment,1000113
"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it off.",He changed his mind and turned the TV off.,1,189,entailment,1000189
"Emma's mother had died long ago, and her place had been taken by an excellent woman as governess.",Emma's mother's place had been taken by an excellent woman as governess.,1,633,entailment,1000633
Kirilov ceded the presidency to Shatov because he was more popular.,Shatov was more popular.,1,235,entailment,1000235
"Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.",Anyone who knew that he was 19 years old could take his claim away from Bernard.,1,301,entailment,1000301
"The table was piled high with food, and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.","Beside the table there were crocks, baskets, and a five-quart pail of milk.",1,38,entailment,1000038
"We went to the lake, because a shark had been seen at the ocean beach, so it was a dangerous place to swim.",The ocean beach was a dangerous place to swim.,1,418,entailment,1000418
So Mark slept. It was daylight when he woke with Warren's hand upon his shoulder.,It was daylight when he woke with Warren's hand upon Warren's shoulder.,0,512,not entailment,1000512
"A number of times Henry had been present at interviews which his father had had with noted detectives who desired his aid in solving perplexing mysteries, and those occasions stood out as red-letter days for him.",Those occasions stood out as red-letter days for Henry.,1,61,entailment,1000061
"In the middle of the outdoor concert, the rain started falling, and it continued until 10.",The concert continued until 10.,0,161,not entailment,1000161
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",He could not help Dad now.,1,37,entailment,1000037
Madonna fired her trainer because she couldn't stand her boyfriend.,The trainer couldn't stand her boyfriend.,0,542,not entailment,1000542
"Every day after dinner Mr. Schmidt took a long nap. Mark would let him sleep for an hour, then wake him up, scold him, and get him to work. He needed to get him to finish his work, because his work was beautiful.","Mark needed to get him to finish his work, because his work was beautiful.",1,369,entailment,1000369
Joe paid the detective after he received the final report on the case.,Joe received the final report on the case.,1,34,entailment,1000034
"The journalists interviewed the stars of the new movie. They were very persistent, so the interview lasted for a long time.","The stars were very persistent, so the interview lasted for a long time.",0,327,not entailment,1000327
"Sam took French classes from Adam, because he was eager to speak it fluently.",Adam was eager to speak it fluently.,0,535,not entailment,1000535
"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.",She put the album on a chair without even opening the button.,0,578,not entailment,1000578
"Fred and Alice had very warm down coats, but they were not enough for the cold in Alaska.",Fred and Alice were not enough for the cold in Alaska.,0,583,not entailment,1000583
The Dakota prairie lay so warm and bright under the shining sun that it did not seem possible that it had ever been swept by the winds and snows of that hard winter.,It did not seem possible that the sun had ever been swept by the winds and snows of that hard winter.,0,607,not entailment,1000607
"Then Dad figured out how much the man owed the store; to that he added the man's board-bill at the cook-shanty. He subtracted that amount from the man's wages, and made out his check",Dad subtracted that amount from the man's wages.,1,614,entailment,1000614
"Pam's parents came home and found her having sex with her boyfriend, Paul. They were furious about it.",Pam and Paul were furious about it.,0,186,not entailment,1000186
"Papa looked down at the children's faces, so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.",He couldn't afford the faces.,0,309,not entailment,1000309
Bill passed the gameboy to John because his turn was over.,John's turn was over.,0,543,not entailment,1000543
"Even before they reached town, they could hear a sound like corn popping. Dora asked what it was, and Dad said it was firecrackers.",Dora asked what the sound was.,1,146,entailment,1000146
"I sallied out for a bit of food, more to pass the time than because I wanted it.","I sallied out for a bit of food, more to pass the time than because I wanted time.",0,411,not entailment,1000411
"The lawyer asked the witness a question, but he was reluctant to answer it.",The lawyer was reluctant to answer it.,0,384,not entailment,1000384
Anne gave birth to a daughter last month. She is a very charming woman.,Anne is a very charming woman.,1,511,entailment,1000511
"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was out.",The sun was out.,1,144,entailment,1000144
Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition.,Bill was the winner of the competition.,1,357,entailment,1000357
"Fred and Alice had very warm down coats, but they were not prepared for the cold in Alaska.",Fred and Alice were not prepared for the cold in Alaska.,1,226,entailment,1000226
"Emma's mother had died long ago, and her place had been taken by an excellent woman as governess.",Emma's place had been taken by an excellent woman as governess.,0,596,not entailment,1000596
"The table was piled high with food, and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.","Beside the floor there were crocks, baskets, and a five-quart pail of milk.",0,501,not entailment,1000501
"Every day after dinner Mr. Schmidt took a long nap. Mark would let him sleep for an hour, then wake him up, scold him, and get him to work. He needed to get him to finish his work, because his work was beautiful.",Mr. Schmidt's work was beautiful.,1,111,entailment,1000111
"Dan took the rear seat while Bill claimed the front because his ""Dibs!"" was quicker.","Dan took the rear seat while Bill claimed the front because Bill's ""Dibs!"" was quicker.",1,336,entailment,1000336
Carol believed that Rebecca suspected that she had stolen the watch.,Carol believed that Rebecca suspected that Carol had stolen the watch.,1,280,entailment,1000280
"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.",She put the album on a chair without even opening the album.,1,482,entailment,1000482
"The donkey wished a wart on its hind leg would disappear, and it did.","The donkey wished a wart on its hind leg would disappear, and wart did.",1,306,entailment,1000306
"I sallied out for a bit of food, more to pass the time than because I wanted it.","I sallied out for a bit of food, more to pass the time than because I wanted food.",1,33,entailment,1000033
Of one thing Mark was sure. Harry knew much less than he did.,Harry knew much less than Harry did.,0,219,not entailment,1000219
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.",There were simply not enough copies of the newsletter.,1,8,entailment,1000008
"Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why she was behaving so strangely.",Alice's daughter was behaving so strangely.,0,58,not entailment,1000058
"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it repaired.",Now I have to get The tree repaired.,0,447,not entailment,1000447
"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be here by this time.",Adam would be here by this time.,0,366,not entailment,1000366
"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know who he was, but he looked very unhappy.","I don't know who the guy in uniform was, but he looked very unhappy.",1,378,entailment,1000378
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",Larry's boss at the railroad company would not want anyone but him to work in the office.,0,547,not entailment,1000547
The foxes are getting in at night and attacking the chickens. They have gotten very nervous.,The foxes have gotten very nervous.,0,224,not entailment,1000224
"Tom said ""Check"" to Ralph as he took his bishop.","Tom said ""Check"" to Ralph as he took Ralph's bishop.",1,32,entailment,1000032
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.","Tatyana was careful not to disturb her, undressing and climbing back into her berth.",1,125,entailment,1000125
"All the buttons up the back of Dora's plaid dress were buttoned outside-in. Maude should have thought to button her up; but no, she had left poor little Dora to do the best she could, alone.","She had left poor little Dora to do the best Dora could, alone.",1,520,entailment,1000520
"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know who he was, but he looked very unhappy.","I don't know who Jim was, but he looked very unhappy.",0,477,not entailment,1000477
"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.",Alice had to hunt for a button.,1,529,entailment,1000529
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",Dad's boss at the railroad company would not want anyone but him to work in the office.,1,325,entailment,1000325
"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.",No time today to look at old pictures in Alice's favorite photo album.,1,407,entailment,1000407
The politicians far away in Washington could not know the settlers so they must make rules to regulate them.,They must make rules to regular the settlers.,1,340,entailment,1000340
There is a gap in the wall. You can see the garden behind it.,You can see the garden through the wall.,1,142,entailment,1000142
"Although they ran at about the same speed, Sue beat Sally because she had such a good start.",Sue had such a good start.,1,107,entailment,1000107
Fred watched TV while George went out to buy groceries. After an hour he got up.,Fred got up.,1,562,entailment,1000562
