sentence,label,idx,global_idx
"Following the demerger , the vice president of the group 's pharmaceutical trade in Finland , Jukka Niemi , will be appointed managing director of Oriola in addition to his current responsibilities .",1,13529,1013529
"In the fourth quarter of 2006 , OKO Banks expects the operating environment for Banking and Investment Services to remain similar to that in January-September 2006 .",1,8240,1008240
"Ragutis , controlled by the Finnish brewery Olvi , achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market share .",2,10542,1010542
Sports equipment sales also progressed well owing to the prolonged winter season .,2,2896,1002896
Outotec 's net profit for the second quarter of 2007 jumped to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago .,2,6483,1006483
"The study was not designed to enable formal statistical evaluation of therapeutic activity , the company said .",1,12617,1012617
"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .",2,6064,1006064
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,1,7530,1007530
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",0,727,1000727
"They are responsible for their own operations , customer relationships , and the development of these .",1,714,1000714
"The new facility , to be known as Technopolis Pulkovo , will introduce to the Russian market an entirely new concept of creating , operating and growing a commercially-funded science and technology park to support the growth of knowledge-intensive companies .",1,10341,1010341
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",2,9973,1009973
Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres .,0,14608,1014608
"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200",0,9784,1009784
Financial terms were not disclosed .,1,12825,1012825
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",2,10024,1010024
The upgraded factory is scheduled to come on stream in the summer of 2008 .,1,11598,1011598
"The firm 's UK head office is in Rugby Road , Lutterworth .",1,1075,1001075
"Finnish pulp and paper machinery maker Vaahto Group Oyj swung to a 1.1 mln euro $ 1.4 mln net profit in the fiscal 2005-06 , ended August 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05 .",2,7618,1007618
Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007 .,0,14636,1014636
Finnish Bank of +àland will launch its long-term pension savings account at the beginning of June 2010 .,1,7776,1007776
"The contract also includes installation work in a new multistorey carpark for close on 1,000 vehicles .",1,1413,1001413
"She will succeed Krister Kylas , who has decided to leave TeliaSonera .",1,3160,1003160
"`` In Ukraine , too , we act as a partner for major bakery clients in both production and product development .",1,7434,1007434
The project is expected to be completed in 2009 .,1,6909,1006909
HELSINKI AFX - Outokumpu said its technology unit has won a 28 mln eur contract from Bosnia-Herzegovina 's Aluminij dd Mostar to upgrade an anode plant .,2,3447,1003447
The value of the order is USD 2.3 mn .,1,13330,1013330
The owners who have participated in the business operations of the company will continue in Poyry 's employment after the transaction .,1,13247,1013247
Finnish Benefon denies claims made in the press that the company is giving up its mobile handset business .,1,14044,1014044
"The Group 's revenue amounts to over EUR 80 million , about half of which is accounted for by exports .",1,7581,1007581
"Jon Risfelt has previously held operational executive positions in Europolitan , Ericsson , SAS , American Express card and travel divisions , as well as Nyman & Schultz ( CEO ) , Vodafone Sweden ( CEO ) , and Gambro Renal Products ( CEO ) .",1,1280,1001280
The contract includes heating plant equipment and associated installation work .,1,3991,1003991
Tikkurila acquired a majority stake in Kolorit Paints in the autumn of 2004 .,1,9160,1009160
"( ADP News ) - Nov 3 , 2008 - Finnish cargo handling systems and services company Cargotec Oyj ( OMX : CGCBV ) said today that it acquired 80 % stakes in Italian service companies CVS Technoports Srl and CVS Service Srl from Italian handli",2,12949,1012949
"Furthermore , efficiency improvement measures initiated earlier are now bearing fruit , '' CEO Jan Lang said .",2,2872,1002872
"Fortum expects its annual capital expenditure in the next four to five years to be within a range of EUR 0.8-1 .2 billion , as earlier announced .",1,12847,1012847
The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,2,2698,1002698
"Barclays Plc ( LSE : BARC ) ( NYSE : BCS ) , Credit Agricole SA ( EPA : ACA ) ( CAGR .",1,4157,1004157
"Finnish Larox has signed a contract with the Talvivaara Project for the delivery of filters to the Talvivaara nickel mine in Sotkamo , in Finland .",2,2530,1002530
Finnish food industry companies are interested in the opportunities provided by Ukraine .,1,11762,1011762
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,0,1866,1001866
The company said that the results of the third quarter do not include non-recurring items .,1,13136,1013136
Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,0,9531,1009531
"LKAB , headquartered in Lulea , Sweden , is a high-tech mining company producing upgraded iron ore products for the steel industry .",1,3130,1003130
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",2,36,1000036
Comptel Corporation will publish its financial statements for 2008 on 12 February 2009 .,1,3763,1003763
A huge issue for us is the button placement .,1,4095,1004095
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",1,7775,1007775
"Product deliveries will not be interrupted , the refiner said , giving no financial details .",1,7862,1007862
The shares represented 4.998 % of total share capital and 2.14 % of total voting rights .,1,13296,1013296
"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak .",2,10661,1010661
"The total investment in the Vantaa plant extension will amount to around 10 million euro , and Okmetic 's share of the investments will be worth around 2.7 million .",1,11045,1011045
"`` We have a license agreement with Nokia Corp. which in part expires on April 9 , 2007 .",1,9448,1009448
"26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier .",2,329,1000329
The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .,2,257,1000257
Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .,0,9212,1009212
"The Innova 2 building will be located close to downtown , in the immediate vicinity of Paviljonki and the travel center , and within walking distance from the heart of the city thanks to the trade fair bridge .",1,3201,1003201
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 16.12.2008 AT 09:30 Huhtamaki Oyj has resolved to clarify the Group structure by separating the Foodservice and Consumer Goods businesses in its production unit in Hameenlinna , Finland by transferring the businesses into its wholly owned subsidiaries .",1,3114,1003114
Mr Skogster currently serves as the manager responsible for ABB Oy 's system modules for low voltage drives .,1,788,1000788
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier .",0,2115,1002115
"`` We have a license agreement with Nokia Corp. which in part expires on April 9 , 2007 .",1,14232,1014232
"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",0,2013,1002013
F-Secure also point out the logical weakness in the sequenced numbers of a card approach that has apparently already been utilised .,0,11911,1011911
"Finnish consulting and engineering group Poyry Plc ( OMX Helsinki : POY ) said on Wednesday ( 1 October ) that it has been awarded a contract by Tanqia Dibba FZC as owner-engineer for the wastewater system of Dibba , Emirate of Fujairah , UAE .",2,2866,1002866
15 December 2010 - Finnish-German telecoms equipment maker Nokia Siemens Networks said today it won a contract to upgrade the radio network of home-based telecommunications company Elisa Oyj HEL : ELI1V .,2,744,1000744
"Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April , Samsung held 55 percent and LG Electronics 19 percent , according to Korea-based ATLAS Research Group .",1,4848,1004848
EUR 152.4 mn of this was net interest income .,1,8815,1008815
Outokumpu 's chief executive Juha Rantanen expressed his confidence in China market .,2,10897,1010897
"www.countryelements.co.uk Designed by Patricia Burt , this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes .",1,6948,1006948
"Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid .",0,775,1000775
"The company estimates that the trend in demand for sports equipment will be steady in 2006 , '' Amer 's report said .",2,10719,1010719
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",1,2313,1002313
16 February 2011 - Finnish industrial machinery company Metso Oyj ( HEL : MEO1V ) said today it will deliver minerals processing equipment and basic engineering to Canadian miner Northland Resources ( OSL : NAUR ) ( TSE : NAU ) .,2,10734,1010734
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",2,2278,1002278
"Also in Latvia , we act as a partner for bakery customers in both production and product development .",1,4137,1004137
"The RME from Telcontar enables the handset to calculate the best route and includes support for user-defined routes , feature navigability and multi-modal routing such as via foot and ferry .",1,13281,1013281
"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation .",0,9664,1009664
Stora Enso will record a capital gain of EUR 33 million as a non-recurring financial item in its fourth quarter 2006 results .,1,10820,1010820
We do hope that this will in the future turn out to be a novel method for the prevention of alcohol and tobacco smoking associated oral cancers .,1,11813,1011813
"( ADP News ) - Dec 11 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) said yesterday it opened a technology research and development ( R&D ) laboratory at Helsinki University of Technology .",1,12947,1012947
"A Flurry Analytics spokesperson said that , as it was only measuring Windows Phone 7 data for some weeks , the firm double-checked the data to make sure the 66 per cent rise was not an aberration .",1,7152,1007152
"Neste Oil Corporation is a refining and marketing company concentrating on clean , high-quality traffic fuels .",1,3458,1003458
"Vaisala also said it expects net sales of EUR 253.2 million for 2010 , compared with EUR 252.2 million recorded in 2009 .",2,10851,1010851
"Apartments of YIT Home may be purchased in 5 regions of Russia , where YIT subsidiaries carry out their activities : Moscow and Moscow region , St. Petersburg , Ekaterinburg , Kazan and Rostov-on-Don .",1,4144,1004144
Mobile communication and wireless broadband provider Nokia Inc NYSE : NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market .,1,14760,1014760
"Sonoco Products Co. , a U.S. packaging company , said Friday it bought the 75 percent of Italy 's Demolli Industria Cartaria SpA it did not already own .",1,13061,1013061
"LONDON ICIS -- Tikkurila has completed the sale of its powder coatings business to Finnish industrial coatings firm Teknos Group , the Finland-based decorative paints company said on Wednesday .",1,11492,1011492
"Protalix closed at $ 10.71 on Friday on the American Stock Exchange , giving a market cap of $ 827 million .",1,13030,1013030
"The Company serves approximately 3,000 customers in over 100 countries .",1,8461,1008461
`` Those uncertainties cloud the long-term outlook . '',0,2011,1002011
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",2,2688,1002688
"External net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices .",0,9916,1009916
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,2,9960,1009960
"The flagship will open this fall in Manhattan 's Flatiron District in the `` Toy Building , '' at 200 Fifth Avenue .",1,13192,1013192
"He joins Technopolis from KONE where he has held various positions within the Group , most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations .",1,1641,1001641
Cameco is to provide an upfront investment of up to USD 60mn for the construction of the uranium extraction circuit .,1,10555,1010555
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .",0,14762,1014762
This assignment strengthens Poyry 's position as an international provider of engineering and project services to the chemical process industry .,2,12250,1012250
A memorandum of understanding on cooperation between the Finnish Global Chemical Company KEMIRA and Vietnam National Chemicals Group ( Vinachem ) was signed on this occasion .,2,11679,1011679
"a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share .",2,2701,1002701
"The bank also expects additional costs , related to the Dash 8 - Q400 jets , which the group shelved in October 2007 .",1,13702,1013702
"Furthermore , Bunge will also sign a licensing agreement for the Sunnuntai and Carlshamn Mejeri brands .",2,6106,1006106
"In addition , Cramo and Peab have signed exclusive five-year rental agreements in Finland and have extended their existing rental agreements in the Swedish market for another five years .",2,2709,1002709
Orion Pharma 's operating profit increased by 42.5 % from 2004 .,2,5961,1005961
"The subsidiary will be responsible for filter sales , local assembly of filters and after market services in China .",1,11364,1011364
"Finnish pulp and paper machinery maker Vaahto Group Oyj swung to a 1.1 mln euro $ 1.4 mln net profit in the fiscal 2005-06 , ended August 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05 .",2,3725,1003725
"Mika Stahlberg , VP F-Secure Labs , said , `` We are excited and proud that F-Secure has been recognized by AV-Comparatives as the Product of the Year .",2,751,1000751
"( ADP News ) - Feb 11 , 2009 - Finnish wood products technology supplier Raute Oyj ( HEL : RUTAV ) said today its net profit decreased to EUR 4.7 million ( USD 6.1 m ) for 2008 from EUR 6.6 million for 2007 .",0,2146,1002146
"Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008 .",0,5127,1005127
"ADP News - Nov 6 , 2008 - Finnish retail software developer Aldata Solution Oyj OMX : ALD1V said today that it swung to a net profit of EUR 2.1 million USD 2.7 m for the first nine months of 2008 versus a net loss of EU",2,3732,1003732
"Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH .",1,11283,1011283
The court found TelecomInvest 's arguments convincing .,2,9623,1009623
The company expects sales revenue of RMB8 .0 billion in 2009 .,1,3687,1003687
"Purchase it for the 12MP snapper , if nothing else .",1,1340,1001340
"The 3C Expo is a signature show in Dongguan , which is supported by the Dongguan Municipal Government every year , featuring computer accessories , software , communication and network products .",1,1719,1001719
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",1,3223,1003223
Net sales revenue per passenger is expected to increase .,2,7402,1007402
Work on the assignment has already started and is due for completion in spring 2011 .,1,8015,1008015
"In the second quarter of 2010 , the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009 .",2,868,1000868
"Also , Westpac is to issue a benchmark , 18 month FRN deal in Euros .",1,3816,1003816
"The company 's profit totaled Ls 134,700 .",1,7568,1007568
European traffic grew nearly 30 % .,2,7464,1007464
Pentik+ñinen emphasises that the most of the internet contents media houses provide can not be free forever .,1,5687,1005687
"After the transaction , Tikkurila has no powder coatings related operations .",1,12712,1012712
The facility consists of a seven year bullet term loan of 200 mln euro $ 292.4 mln and a 150 mln euro $ 219.3 mln five year revolving credit facility .,1,9061,1009061
"Mformation and Nokia noted they have established interoperability agreements that cover commercially proven , standards-based management of mobile devices , as well as mobile device security and mobile application management .",2,873,1000873
"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .",1,6171,1006171
"Virala Oy Ab was allocated by the Board of Directors an amount of EUR 1,9 million which is EUR 0,25 million lower than maximum announced on 12/30/2010 .",1,8697,1008697
Sunrise Resources operates in Russian near-shore development markets through its wholly-owned Russian subsidiary and has 80 % of its personnel in Russia .,1,1362,1001362
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",2,5776,1005776
The platform would continue to be the development framework for Symbian and MeeGo .,1,1482,1001482
"` This is a repeat order to follow successfully installed 159 elevators in the same Delhi metro system , ' Kone spokeswoman told Thomson Financial News .",2,2835,1002835
"Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny , in the St. Petersburg suburbs .",2,11009,1011009
"Wartsila won the contract in October 2007 and the plant will be installed at Manturovo in the Kostroma region of Russia , about 600 km northeast of Moscow , Russia .",2,10853,1010853
The value of the order is EUR 4mn .,1,4619,1004619
`` We 've been feeling quite positive about the region as a whole .,2,6535,1006535
Earnings per share EPS in the first quarter amounted to a loss of EUR0 .20 .,1,8807,1008807
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",2,9987,1009987
The company expects its net sales for the whole 2009 to be at previous year levels .,1,9007,1009007
`` Our customer has been satisfied with Basware Invoice Automation solution and extends the implementation to new geographies .,2,397,1000397
"The city will invite , however , a public procurement tender for the tailor-made public furniture , such as park benches , litter receptacles , public toilets , as well as bus shelters , street lights , and other .",1,4433,1004433
"The business is organised , as of February 1 , 2011 , in a way that production of design services is combined into one entity , Etteplan Operations .",1,13710,1013710
He confirmed his view on July 6 .,1,976,1000976
The new units should become one of the largest ones within the company .,1,8548,1008548
"The company expects its net sales for the whole of 2007 to be EUR 950mn-1 ,000 mn .",1,13727,1013727
The value of the contract is in total USD12m .,1,1835,1001835
LSC 's 30 employees will move to Ixonos with their existing status and benefits .,1,3134,1003134
"Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008 .",0,9854,1009854
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein .",1,12471,1012471
"Based upon its unique fiber expertise and innovative approach , the company has a strong market position in several business areas in which it operates .",2,9583,1009583
"Products include Consumer Electronics devices such as mobile phones and their accessories , set-top boxes , flat panel TVs as well as System Solutions products such as infrastructure systems , modules and other industrial segment products .",1,4364,1004364
"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be announced later .",1,3030,1003030
A few employees would remain at the Oulu plant in support functions for other group units .,1,1142,1001142
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",2,309,1000309
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",2,5867,1005867
`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',0,14734,1014734
"It projected revenue of $ 2.2 billion to $ 2.3 billion , slightly higher than analyst estimates of $ 2.19 billion .",2,12071,1012071
The investment would be some EUR5m .,1,1452,1001452
"Under the transaction agreement , Metsaliitto will purchase 24.7 % of Metsa-Botnia 's shares from UPM and 3 % from M-real .",1,13899,1013899
Subscription sales decreased slightly .,0,5607,1005607
The ECB can mainly target inflation .,1,4484,1004484
"The company 's net profit amounted to EE 55.5 mn , which was 36 % more than in 2004 .",2,3746,1003746
"The most loyal customers were found in the Bank of +àland , with an index of 8.0 .",2,7094,1007094
"The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module .",1,11014,1011014
Aspokem posted an operating profit of 2.7 mln euro ( $ 3.5 mln ) and net sales of 89.1 mln euro ( $ 116.8 mln ) in 2006 .,1,7449,1007449
Finnish forest machinery manufacturer Ponsse has agreed with Volvo on the start of cooperation in Latin America .,2,10740,1010740
"Cash flow after investments amounted to EUR45m , down from EUR46m .",0,2125,1002125
"Capman , the Finnish alternative asset manager , has made an acquisition for its Helsinki-focused vehicle , Real Estate Fund I. The fund has bought a seven-story office built in 1973 that underwent refurbishment at the end of the 1990s .",1,10354,1010354
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",2,9968,1009968
"In addition to verification of an identity and digital signatures , new state-approved Mobile ID enables to cast votes in elections as well .",1,8857,1008857
"The repayment of EUR 105 million debenture bonds is related to the Company 's previous announcement on October 21 , 2009 to collect irrevocable selling commitments from the holders of its subordinated debenture bonds .",1,10458,1010458
Ramirent Finland is the domestic unit of machinery rental company Ramirent Oyj HEL : RMR1V .,1,1013,1001013
"The market value of one crane is some USD6m , reported the Finnish news agency STT .",1,8532,1008532
"According to CEO Matti Karppinen , Frozen Foods posted a good result in 2010 , as it did in 2009 .",2,6379,1006379
"The aim of the CEO 's Q&A sessions is to give further clarity on information , which has been made public already earlier .",1,3964,1003964
Last year 's third quarter result had been burdened by costs stemming from restructuring in the US .,0,14339,1014339
No financial details were revealed .,1,1309,1001309
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .,0,2134,1002134
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",2,10040,1010040
The event can also be viewed as a live webcast at www.cargotec.com .,1,3356,1003356
It has some 30 offices worldwide and more than 90 pct of its net sales are generated outside Finland .,1,270,1000270
"industry in Asia +ó Pakistan , Malaysia , Taiwan and Philippines Today , Global Research & Data Services is going to publish several market analyses about the cement markets in Asia .",1,8250,1008250
It will focus on improving its profitability next year by streamlining operations .,2,7171,1007171
"Before Kemira 's installation NordAlu was producing 3,500 tons of liquid and solid aluminum waste per year .",1,3528,1003528
"Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 a.m. A telephone conference for financial analysts and investors , conducted in English , will begin at 3:00 p.m. Finnish time ( EET ) .",1,3149,1003149
"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia .",2,10521,1010521
